sent_to,overdue,pending,received
Department of Health,14,0,85
NHS England,23,0,72
Department of Health & Social Care,26,0,39
The Care Quality Commission,30,0,16
Department for Transport,6,0,19
Home Office,9,0,14
Network Rail,1,0,22
Betsi Cadwaladr University Health Board,1,0,19
Health and Safety Executive,7,0,11
National Offender Management Service,9,0,8
NICE,4,0,13
Pennine Care NHS Trust,6,0,10
MOJ,13,0,2
Highways England,2,0,13
MHRA,5,0,9
Secretary of State for Health & Social Care,0,0,13
Greater Manchester Police,2,0,11
National Police Chiefsâ€™ Council,6,0,6
Department for Education,3,0,9
Metropolitan Police,1,0,10
Greater Manchester Health & Social Care Partnership,3,0,7
Care UK,2,0,7
Stockport NHS Foundation Trust,1,0,8
Secretary of State for Transport,4,0,5
HM Prison and Probation Service,2,0,7
Civil Aviation Authority,2,0,7
East London NHS Trust,1,0,8
Barts Health NHS Trust,0,0,9
NHS Digital,0,0,8
North West Ambulance Service,2,0,6
